Size;IS;QS
2;3,20E-05;8,10E-05
4;0,000103;0,000303
6;0,000236;0,000704
8;0,00049;0,001343
10;0,000912;0,002209
12;0,001506;0,003319
14;0,002329;0,004667
16;0,003351;0,006214
18;0,00463;0,008088
20;0,006194;0,010231
22;0,00807;0,012643
24;0,01026;0,015379
26;0,013742;0,019249
28;0,018214;0,024003
30;0,023414;0,02917
32;0,029341;0,03479
34;0,033866;0,039199
36;0,03875;0,043686
38;0,044299;0,048682
40;0,050255;0,053865
42;0,056856;0,059224
44;0,064139;0,065001
46;0,072169;0,071146
48;0,081177;0,077742
50;0,090547;0,084429
52;0,100569;0,091623
54;0,111541;0,09914
56;0,123088;0,106767
58;0,135554;0,114858
60;0,148949;0,123281
62;0,163075;0,132116
64;0,178298;0,141315
